median_income,housing_median_age,total_rooms,total_bedrooms,population,households,rooms_per_household,population_per_household,bedrooms_per_household,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value
7.2316,31.0,1428.0,320.0,677.0,331.0,4.314199395770393,2.0453172205438066,0.9667673716012085,0.0,0.0,0.0,0.0,500001.0
4.9844,29.0,2671.0,437.0,1484.0,445.0,6.002247191011236,3.3348314606741574,0.9820224719101124,1.0,0.0,0.0,0.0,203000.0
2.913,31.0,1090.0,251.0,955.0,239.0,4.560669456066946,3.99581589958159,1.0502092050209204,0.0,0.0,0.0,0.0,192500.0
2.8214,13.0,3163.0,725.0,1675.0,629.0,5.028616852146264,2.662957074721781,1.152623211446741,0.0,0.0,0.0,0.0,121900.0
5.3245,39.0,768.0,162.0,264.0,118.0,6.508474576271187,2.23728813559322,1.3728813559322033,1.0,0.0,0.0,0.0,250000.0
6.3719,26.0,2754.0,402.0,1128.0,395.0,6.972151898734177,2.8556962025316457,1.0177215189873419,0.0,0.0,0.0,1.0,466900.0
2.1397,32.0,2020.0,613.0,2557.0,562.0,3.5943060498220643,4.549822064056939,1.0907473309608542,0.0,0.0,0.0,1.0,145300.0
4.2241,20.0,8052.0,1461.0,5094.0,1430.0,5.630769230769231,3.5622377622377623,1.0216783216783216,0.0,0.0,0.0,1.0,139800.0
2.5813,30.0,2061.0,631.0,1007.0,577.0,3.5719237435008666,1.7452339688041594,1.0935875216637783,0.0,0.0,0.0,1.0,253100.0
4.3839,26.0,2548.0,647.0,1098.0,540.0,4.718518518518518,2.033333333333333,1.1981481481481482,0.0,0.0,0.0,0.0,299100.0
13.6623,15.0,3540.0,453.0,1364.0,425.0,8.329411764705883,3.2094117647058824,1.0658823529411765,0.0,0.0,0.0,1.0,500001.0
0.8075,52.0,386.0,164.0,346.0,155.0,2.490322580645161,2.232258064516129,1.0580645161290323,0.0,0.0,1.0,0.0,137500.0
2.225,42.0,517.0,233.0,995.0,212.0,2.438679245283019,4.693396226415095,1.099056603773585,0.0,0.0,0.0,1.0,106300.0
2.9937,27.0,2258.0,427.0,1076.0,423.0,5.33806146572104,2.5437352245862885,1.0094562647754137,1.0,0.0,0.0,0.0,81100.0
3.1538,43.0,782.0,207.0,827.0,223.0,3.506726457399103,3.708520179372197,0.9282511210762332,0.0,0.0,0.0,0.0,154300.0
1.6007,21.0,1779.0,466.0,1327.0,488.0,3.6454918032786887,2.7192622950819674,0.9549180327868853,0.0,0.0,0.0,1.0,96200.0
4.3542,34.0,1852.0,322.0,978.0,332.0,5.578313253012048,2.9457831325301207,0.9698795180722891,0.0,0.0,0.0,0.0,156900.0
2.6902,15.0,2045.0,461.0,1121.0,402.0,5.087064676616915,2.788557213930348,1.1467661691542288,1.0,0.0,0.0,0.0,71500.0
4.0049,37.0,1404.0,266.0,889.0,274.0,5.124087591240876,3.2445255474452557,0.9708029197080292,0.0,0.0,0.0,0.0,190000.0
3.1111,43.0,2543.0,621.0,1301.0,606.0,4.196369636963697,2.1468646864686467,1.0247524752475248,0.0,0.0,0.0,1.0,318400.0
3.0091,41.0,2429.0,454.0,1188.0,430.0,5.648837209302326,2.7627906976744185,1.0558139534883721,1.0,0.0,0.0,0.0,70800.0
4.1544,16.0,3222.0,511.0,1425.0,503.0,6.405566600397615,2.8330019880715707,1.0159045725646123,1.0,0.0,0.0,0.0,119400.0
1.6172,9.0,695.0,188.0,810.0,190.0,3.6578947368421053,4.2631578947368425,0.9894736842105263,1.0,0.0,0.0,0.0,56300.0
4.25,1.0,2254.0,328.0,402.0,112.0,20.125,3.5892857142857144,2.9285714285714284,1.0,0.0,0.0,0.0,189200.0
2.0675,25.0,2851.0,968.0,3744.0,906.0,3.1467991169977925,4.132450331125828,1.0684326710816776,0.0,0.0,0.0,1.0,116700.0
4.0993,5.0,2613.0,476.0,1490.0,481.0,5.4324324324324325,3.0977130977130978,0.9896049896049897,1.0,0.0,0.0,0.0,83000.0
5.9196,27.0,1797.0,343.0,435.0,203.0,8.852216748768473,2.142857142857143,1.6896551724137931,0.0,0.0,0.0,0.0,500001.0
2.2607,40.0,680.0,273.0,995.0,249.0,2.7309236947791167,3.995983935742972,1.0963855421686748,0.0,0.0,0.0,0.0,165600.0
3.8594,45.0,942.0,166.0,401.0,174.0,5.413793103448276,2.3045977011494254,0.9540229885057471,1.0,0.0,0.0,0.0,90800.0
5.2319,23.0,5135.0,911.0,2351.0,863.0,5.950173812282735,2.724217844727694,1.0556199304750868,0.0,0.0,0.0,0.0,430100.0
5.345,32.0,1479.0,287.0,830.0,288.0,5.135416666666667,2.8819444444444446,0.9965277777777778,0.0,0.0,0.0,1.0,322600.0
3.962,43.0,1606.0,408.0,862.0,354.0,4.536723163841808,2.4350282485875705,1.152542372881356,0.0,0.0,0.0,0.0,345800.0
4.119,28.0,2685.0,581.0,1243.0,529.0,5.0756143667296785,2.3497164461247637,1.0982986767485823,0.0,0.0,0.0,0.0,324000.0
2.4398,22.0,886.0,173.0,595.0,161.0,5.503105590062112,3.6956521739130435,1.0745341614906831,1.0,0.0,0.0,0.0,150000.0
5.5362,30.0,2062.0,396.0,1089.0,375.0,5.498666666666667,2.904,1.056,0.0,0.0,0.0,0.0,301200.0
2.8971,37.0,1525.0,363.0,1075.0,374.0,4.077540106951871,2.874331550802139,0.9705882352941176,0.0,0.0,0.0,0.0,186100.0
5.0976,34.0,3145.0,786.0,1352.0,727.0,4.325997248968363,1.8596973865199449,1.0811554332874829,0.0,0.0,0.0,0.0,469800.0
3.5486,20.0,1838.0,540.0,615.0,325.0,5.655384615384615,1.8923076923076922,1.6615384615384616,0.0,0.0,0.0,1.0,193800.0
3.705,33.0,1194.0,229.0,839.0,230.0,5.191304347826087,3.6478260869565218,0.9956521739130435,0.0,0.0,0.0,0.0,185800.0
2.8798,6.0,1495.0,552.0,1087.0,557.0,2.6840215439856374,1.9515260323159784,0.9910233393177738,0.0,0.0,0.0,0.0,225000.0
7.8575,26.0,1797.0,244.0,626.0,244.0,7.364754098360656,2.5655737704918034,1.0,0.0,0.0,0.0,0.0,424600.0
1.9167,14.0,2534.0,705.0,1495.0,583.0,4.346483704974271,2.5643224699828475,1.2092624356775301,1.0,0.0,0.0,0.0,156300.0
1.0531,38.0,818.0,217.0,953.0,231.0,3.5411255411255413,4.125541125541125,0.9393939393939394,0.0,0.0,0.0,1.0,65700.0
4.6923,15.0,3137.0,509.0,1635.0,544.0,5.766544117647059,3.005514705882353,0.9356617647058824,1.0,0.0,0.0,0.0,122700.0
4.5625,12.0,9966.0,1517.0,5008.0,1492.0,6.6796246648793565,3.35656836461126,1.0167560321715818,1.0,0.0,0.0,0.0,171300.0
2.2019,15.0,3763.0,784.0,717.0,348.0,10.813218390804598,2.060344827586207,2.2528735632183907,1.0,0.0,0.0,0.0,130500.0
2.375,17.0,3915.0,742.0,1768.0,688.0,5.690406976744186,2.5697674418604652,1.0784883720930232,1.0,0.0,0.0,0.0,79800.0
1.8158,33.0,552.0,120.0,347.0,97.0,5.690721649484536,3.577319587628866,1.2371134020618557,1.0,0.0,0.0,0.0,100000.0
2.4219,46.0,695.0,182.0,601.0,195.0,3.5641025641025643,3.082051282051282,0.9333333333333333,0.0,0.0,0.0,1.0,90600.0
2.1542,31.0,700.0,299.0,1272.0,298.0,2.348993288590604,4.268456375838926,1.0033557046979866,0.0,0.0,0.0,0.0,128100.0
2.8519,17.0,2534.0,517.0,1764.0,502.0,5.047808764940239,3.5139442231075697,1.0298804780876494,1.0,0.0,0.0,0.0,80700.0
7.0913,23.0,2023.0,309.0,678.0,340.0,5.95,1.9941176470588236,0.9088235294117647,0.0,0.0,0.0,0.0,265400.0
3.15,14.0,821.0,170.0,477.0,129.0,6.364341085271318,3.697674418604651,1.317829457364341,1.0,0.0,0.0,0.0,87500.0
1.822,41.0,2591.0,585.0,1638.0,462.0,5.608225108225108,3.5454545454545454,1.2662337662337662,0.0,0.0,1.0,0.0,79700.0
4.1939,44.0,2547.0,511.0,1577.0,516.0,4.936046511627907,3.056201550387597,0.9903100775193798,0.0,0.0,0.0,1.0,237900.0
5.0187,29.0,2304.0,399.0,1377.0,454.0,5.07488986784141,3.0330396475770924,0.8788546255506607,0.0,0.0,1.0,0.0,140600.0
5.2155,36.0,1946.0,346.0,871.0,336.0,5.791666666666667,2.5922619047619047,1.0297619047619047,0.0,0.0,0.0,0.0,254800.0
3.5583,32.0,1083.0,206.0,737.0,218.0,4.967889908256881,3.3807339449541285,0.944954128440367,0.0,0.0,0.0,0.0,170800.0
2.225,26.0,1183.0,276.0,513.0,206.0,5.742718446601942,2.4902912621359223,1.3398058252427185,1.0,0.0,0.0,0.0,52000.0
5.1842,17.0,1893.0,297.0,936.0,287.0,6.59581881533101,3.2613240418118465,1.0348432055749128,0.0,0.0,0.0,0.0,157700.0
3.3125,27.0,4286.0,1071.0,2863.0,1033.0,4.149080348499516,2.771539206195547,1.036786060019361,0.0,0.0,0.0,0.0,222800.0
1.5625,22.0,1665.0,405.0,826.0,382.0,4.358638743455497,2.162303664921466,1.0602094240837696,0.0,0.0,0.0,1.0,66800.0
11.6017,18.0,1617.0,210.0,533.0,194.0,8.335051546391753,2.747422680412371,1.0824742268041236,0.0,0.0,1.0,0.0,392600.0
2.46,14.0,1781.0,346.0,734.0,287.0,6.205574912891986,2.557491289198606,1.2055749128919862,1.0,0.0,0.0,0.0,93000.0
2.7593,23.0,3065.0,723.0,2042.0,698.0,4.391117478510028,2.9255014326647566,1.0358166189111748,0.0,0.0,0.0,0.0,194800.0
2.25,50.0,1746.0,480.0,1149.0,415.0,4.20722891566265,2.7686746987951807,1.1566265060240963,0.0,0.0,1.0,0.0,123500.0
3.0909,27.0,580.0,143.0,466.0,133.0,4.360902255639098,3.5037593984962405,1.0751879699248121,0.0,0.0,0.0,0.0,187500.0
2.8125,52.0,437.0,105.0,194.0,87.0,5.022988505747127,2.2298850574712645,1.206896551724138,0.0,0.0,1.0,0.0,500001.0
4.5972,19.0,4641.0,994.0,1334.0,474.0,9.791139240506329,2.8143459915611815,2.0970464135021096,1.0,0.0,0.0,0.0,123900.0
5.4663,36.0,1225.0,213.0,591.0,227.0,5.39647577092511,2.60352422907489,0.9383259911894273,0.0,0.0,0.0,0.0,326700.0
4.7845,37.0,1013.0,199.0,493.0,183.0,5.53551912568306,2.6939890710382515,1.0874316939890711,0.0,0.0,0.0,0.0,231400.0
3.9848,27.0,2621.0,513.0,1063.0,523.0,5.011472275334608,2.032504780114723,0.9808795411089866,0.0,0.0,0.0,0.0,409700.0
10.2811,34.0,2999.0,365.0,927.0,369.0,8.127371273712738,2.5121951219512195,0.989159891598916,0.0,0.0,0.0,1.0,500001.0
9.6047,20.0,7384.0,845.0,2795.0,872.0,8.46788990825688,3.205275229357798,0.9690366972477065,0.0,0.0,0.0,0.0,500001.0
7.6877,21.0,10093.0,1269.0,3645.0,1219.0,8.279737489745694,2.9901558654634948,1.041017227235439,0.0,0.0,1.0,0.0,367700.0
1.6786,52.0,1503.0,367.0,554.0,277.0,5.425992779783393,2.0,1.3249097472924187,1.0,0.0,0.0,0.0,126600.0
4.0536,46.0,2085.0,346.0,748.0,354.0,5.889830508474576,2.1129943502824857,0.9774011299435028,0.0,0.0,1.0,0.0,262000.0
1.8819,41.0,2396.0,602.0,1781.0,543.0,4.412523020257827,3.279926335174954,1.1086556169429098,1.0,0.0,0.0,0.0,58000.0
4.2679,25.0,2471.0,518.0,1539.0,500.0,4.942,3.078,1.036,0.0,0.0,0.0,0.0,191700.0
2.0057,52.0,1230.0,262.0,609.0,243.0,5.061728395061729,2.506172839506173,1.0781893004115226,1.0,0.0,0.0,0.0,68200.0
2.1199,34.0,2533.0,862.0,2011.0,778.0,3.2557840616966582,2.5848329048843186,1.1079691516709511,0.0,0.0,0.0,1.0,160400.0
4.8854,17.0,5509.0,866.0,2748.0,817.0,6.74296205630355,3.3635250917992656,1.0599755201958385,0.0,0.0,0.0,0.0,181300.0
6.67,11.0,10535.0,1620.0,4409.0,1622.0,6.4950678175092476,2.718249075215783,0.998766954377312,0.0,0.0,0.0,0.0,283200.0
3.7632,30.0,4238.0,1010.0,1914.0,972.0,4.360082304526749,1.9691358024691359,1.0390946502057614,0.0,0.0,0.0,0.0,307000.0
4.0727,18.0,3380.0,922.0,2276.0,854.0,3.9578454332552693,2.6651053864168617,1.079625292740047,0.0,0.0,0.0,0.0,214000.0
1.6148,16.0,3331.0,839.0,1955.0,763.0,4.365661861074705,2.562254259501966,1.0996068152031455,1.0,0.0,0.0,0.0,86600.0
5.4032,7.0,23866.0,4407.0,9873.0,4012.0,5.948654037886341,2.4608673978065805,1.098454636091725,0.0,0.0,0.0,1.0,318500.0
4.3625,29.0,1087.0,174.0,430.0,174.0,6.247126436781609,2.471264367816092,1.0,1.0,0.0,0.0,0.0,158800.0
1.655,23.0,1321.0,259.0,749.0,222.0,5.95045045045045,3.373873873873874,1.1666666666666667,1.0,0.0,0.0,0.0,90100.0
2.3171,7.0,10665.0,2576.0,4917.0,2424.0,4.399752475247524,2.0284653465346536,1.0627062706270627,0.0,0.0,0.0,0.0,159500.0
6.4797,25.0,1905.0,250.0,865.0,253.0,7.529644268774703,3.41897233201581,0.9881422924901185,0.0,0.0,0.0,0.0,249000.0
1.9127,15.0,1655.0,626.0,1549.0,582.0,2.843642611683849,2.661512027491409,1.0756013745704467,0.0,0.0,0.0,0.0,175000.0
1.7898,35.0,1511.0,316.0,892.0,304.0,4.970394736842105,2.9342105263157894,1.0394736842105263,1.0,0.0,0.0,0.0,63500.0
3.5737,30.0,3377.0,623.0,1289.0,594.0,5.685185185185185,2.17003367003367,1.0488215488215489,1.0,0.0,0.0,0.0,171200.0
4.9904,29.0,2911.0,445.0,1170.0,460.0,6.328260869565217,2.5434782608695654,0.967391304347826,1.0,0.0,0.0,0.0,158100.0
6.0718,38.0,694.0,112.0,412.0,119.0,5.831932773109243,3.46218487394958,0.9411764705882353,0.0,0.0,0.0,0.0,156000.0
4.5375,23.0,184.0,44.0,118.0,40.0,4.6,2.95,1.1,0.0,0.0,1.0,0.0,350000.0
4.375,47.0,1256.0,430.0,570.0,218.0,5.761467889908257,2.614678899082569,1.048689138576779,0.0,0.0,1.0,0.0,161900.0
