column_position,column_name,observed_pandas_dtype,inferred_structural_type,observations,non_missing_count,missing_count,missing_percentage,unique_count,unique_percentage,binary_candidate,low_cardinality_candidate,identifier_candidate,integer_valued_candidate,minimum,maximum,mean,median,standard_deviation,zero_count,negative_count,example_values
1,longitude,float64,Continuous numeric,20640,20640,0,0.0,844,4.089147286821706,False,True,False,False,-124.35,-114.31,-119.56970445736432,-118.49,2.0035317235025882,0.0,20640.0,-122.23 | -122.22 | -122.24 | -122.25 | -122.26
2,latitude,float64,Continuous numeric,20640,20640,0,0.0,862,4.176356589147287,False,True,False,False,32.54,41.95,35.63186143410852,34.26,2.1359523974571153,0.0,0.0,37.88 | 37.86 | 37.85 | 37.84 | 37.83
3,housing_median_age,float64,Integer-valued numeric,20640,20640,0,0.0,52,0.25193798449612403,False,True,False,True,1.0,52.0,28.639486434108527,29.0,12.58555761211165,0.0,0.0,41.0 | 21.0 | 52.0 | 42.0 | 50.0
4,total_rooms,float64,Integer-valued numeric,20640,20640,0,0.0,5926,28.711240310077518,False,False,False,True,2.0,39320.0,2635.7630813953488,2127.0,2181.615251582795,0.0,0.0,880.0 | 7099.0 | 1467.0 | 1274.0 | 1627.0
5,total_bedrooms,float64,Integer-valued numeric,20640,20433,207,1.002906976744186,1923,9.31686046511628,False,False,False,True,1.0,6445.0,537.8705525375618,435.0,421.3850700740322,0.0,0.0,129.0 | 1106.0 | 190.0 | 235.0 | 280.0
6,population,float64,Integer-valued numeric,20640,20640,0,0.0,3888,18.83720930232558,False,False,False,True,3.0,35682.0,1425.4767441860465,1166.0,1132.462121765341,0.0,0.0,322.0 | 2401.0 | 496.0 | 558.0 | 565.0
7,households,float64,Integer-valued numeric,20640,20640,0,0.0,1815,8.793604651162791,False,False,False,True,1.0,6082.0,499.5396802325581,409.0,382.32975283161073,0.0,0.0,126.0 | 1138.0 | 177.0 | 219.0 | 259.0
8,median_income,float64,Continuous numeric,20640,20640,0,0.0,12928,62.63565891472869,False,False,False,False,0.4999,15.0001,3.8706710029069766,3.5347999999999997,1.8998217179452688,0.0,0.0,8.3252 | 8.3014 | 7.2574 | 5.6431 | 3.8462
9,median_house_value,float64,Integer-valued numeric,20640,20640,0,0.0,3842,18.61434108527132,False,False,False,True,14999.0,500001.0,206855.81690891474,179700.0,115395.61587441387,0.0,0.0,452600.0 | 358500.0 | 352100.0 | 341300.0 | 342200.0
10,ocean_proximity,str,String / categorical candidate,20640,20640,0,0.0,5,0.02422480620155039,False,True,False,False,,,,,,,,NEAR BAY | <1H OCEAN | INLAND | NEAR OCEAN | ISLAND
