column_name,role,semantic_type,pandas_dtype,observations,non_missing_count,missing_count,missing_percentage,unique_count,example_values,minimum,maximum,mean,median,standard_deviation,skewness,kurtosis
longitude,predictor,spatial_coordinate,float64,14448,14448,0,0.0,812,-118.41 | -117.83 | -118.33 | -117.26 | -120.51,-124.3,-114.31,-119.57329388150609,-118.51,2.003203092697578,-0.29395277625766186,-1.3365456992369644
latitude,predictor,spatial_coordinate,float64,14448,14448,0,0.0,822,33.89 | 34.11 | 34.04 | 33.2 | 35.91,32.55,41.92,35.63352297895903,34.26,2.1325044523225913,0.45991760473637766,-1.1240664909582838
housing_median_age,predictor,discrete_numeric,float64,14448,14448,0,0.0,52,31.0 | 29.0 | 13.0 | 39.0 | 26.0,1.0,52.0,28.742594130675528,29.0,12.574924501209352,0.05934129972878788,-0.7968532712303666
total_rooms,predictor,count,float64,14448,14448,0,0.0,5208,1428.0 | 2671.0 | 1090.0 | 3163.0 | 768.0,6.0,37937.0,2613.580564784053,2111.0,2125.8410464538556,3.8920934682596773,29.038327445800014
total_bedrooms,predictor,count,float64,14448,14308,140,0.9689922480620154,1750,320.0 | 437.0 | 251.0 | 725.0 | 162.0,2.0,5471.0,533.2616717920044,430.0,412.8589651184645,3.247117253603965,18.736443230070815
population,predictor,count,float64,14448,14448,0,0.0,3456,677.0 | 1484.0 | 955.0 | 1675.0 | 264.0,3.0,35682.0,1413.5608388704318,1159.0,1114.8762636750587,4.9369673384696835,78.8543766332699
households,predictor,count,float64,14448,14448,0,0.0,1628,331.0 | 445.0 | 239.0 | 629.0 | 118.0,2.0,5189.0,495.29720376522704,406.0,376.0395200250696,3.231114928128905,19.035486129897883
median_income,predictor,continuous_numeric,float64,14448,14448,0,0.0,9817,7.2316 | 4.9844 | 2.913 | 2.8214 | 5.3245,0.4999,15.0001,3.8731479305094125,3.536,1.8939959488328384,1.6060239288131033,4.605602765838298
median_house_value,target,continuous_numeric,float64,14448,14448,0,0.0,3549,500001.0 | 203000.0 | 192500.0 | 121900.0 | 250000.0,14999.0,500001.0,207143.47888981173,179900.0,115558.18144815447,0.9857121708200037,0.3357413590439724
ocean_proximity,predictor,nominal_categorical,str,14448,14448,0,0.0,5,<1H OCEAN | INLAND | NEAR OCEAN | NEAR BAY | ISLAND,,,,,,,
