,outlier_variable,iqr_flag,modified_z_flag,modified_z_score,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
52,latitude,False,True,3.526044715447163,-121.83,40.69,14.0,821.0,170.0,477.0,129.0,3.15,87500.0,INLAND
58,latitude,False,True,3.6795894308943184,-121.89,40.97,26.0,1183.0,276.0,513.0,206.0,2.225,52000.0,INLAND
194,latitude,False,True,3.6137845528455395,-122.45,40.85,20.0,2701.0,573.0,892.0,358.0,2.7736,107800.0,INLAND
215,latitude,False,True,3.5699146341463535,-124.16,40.77,35.0,2141.0,438.0,1053.0,434.0,2.8529,85600.0,NEAR OCEAN
249,latitude,False,True,3.575398373983751,-124.18,40.78,34.0,1592.0,364.0,950.0,317.0,2.1607,67000.0,NEAR OCEAN
437,latitude,False,True,3.5808821138211484,-123.48,40.79,15.0,619.0,160.0,287.0,104.0,1.9107,79200.0,INLAND
640,latitude,False,True,3.515077235772369,-124.14,40.67,23.0,580.0,117.0,320.0,109.0,4.2054,130600.0,NEAR OCEAN
679,latitude,False,True,3.50410975609757,-120.77,40.65,11.0,2635.0,667.0,280.0,132.0,1.7214,118300.0,INLAND
718,latitude,False,True,3.887971544715459,-120.51,41.35,16.0,2843.0,564.0,892.0,386.0,2.5074,69100.0,INLAND
778,latitude,False,True,3.6302357723577354,-123.53,40.88,20.0,2680.0,599.0,918.0,345.0,2.2115,75000.0,INLAND
815,latitude,False,True,3.575398373983751,-124.16,40.78,46.0,1975.0,346.0,791.0,349.0,3.8,81800.0,NEAR OCEAN
880,latitude,False,True,4.101837398373997,-124.16,41.74,15.0,2715.0,569.0,1532.0,530.0,2.1829,69500.0,NEAR OCEAN
1313,latitude,False,True,3.8715203252032633,-122.09,41.32,52.0,4019.0,824.0,1728.0,706.0,2.2462,62900.0,INLAND
1390,latitude,False,True,4.030548780487816,-120.55,41.61,22.0,9047.0,1831.0,4276.0,1622.0,2.0802,47900.0,INLAND
1487,latitude,False,True,3.992162601626027,-120.87,41.54,21.0,1091.0,208.0,660.0,188.0,2.2321,34600.0,INLAND
1993,latitude,False,True,3.6576544715447254,-122.81,40.93,16.0,2050.0,471.0,588.0,195.0,2.7083,88900.0,INLAND
2287,latitude,False,True,3.6466869918699274,-124.08,40.91,13.0,2522.0,719.0,1381.0,628.0,1.6667,78800.0,NEAR OCEAN
2364,latitude,False,True,4.025065040650419,-123.41,41.6,23.0,1654.0,369.0,669.0,273.0,1.965,65400.0,INLAND
2459,latitude,False,True,3.5808821138211484,-124.16,40.79,46.0,3042.0,597.0,1206.0,541.0,2.1135,90600.0,NEAR OCEAN
2520,latitude,False,True,3.5863658536585454,-124.16,40.8,52.0,2167.0,480.0,908.0,451.0,1.6111,74700.0,NEAR OCEAN
2681,latitude,False,True,3.893455284552856,-124.08,41.36,29.0,1029.0,239.0,509.0,196.0,2.0156,62800.0,NEAR OCEAN
2742,latitude,False,True,3.5863658536585454,-124.17,40.8,52.0,1557.0,344.0,758.0,319.0,1.8529,62500.0,NEAR OCEAN
2851,latitude,False,True,3.5808821138211484,-124.13,40.79,32.0,2017.0,359.0,855.0,346.0,3.5833,92800.0,NEAR OCEAN
2863,latitude,False,True,3.635719512195133,-121.67,40.89,17.0,2548.0,537.0,1118.0,461.0,2.267,57800.0,INLAND
2939,latitude,False,True,3.707008130081313,-124.16,41.02,23.0,1672.0,385.0,1060.0,390.0,2.1726,75500.0,NEAR OCEAN
2978,latitude,False,True,3.9208739837398467,-122.37,41.41,28.0,1729.0,419.0,929.0,370.0,1.27,53100.0,INLAND
3124,latitude,False,True,3.8495853658536694,-122.45,41.28,15.0,2740.0,503.0,1188.0,445.0,3.4519,128800.0,INLAND
3141,latitude,False,True,3.7179756097561074,-121.45,41.04,33.0,2029.0,378.0,936.0,343.0,2.67,77500.0,INLAND
3207,latitude,False,True,4.112804878048791,-122.73,41.76,19.0,2200.0,414.0,950.0,367.0,2.5357,94200.0,INLAND
3222,latitude,False,True,4.134739837398383,-124.17,41.8,16.0,2739.0,480.0,1259.0,436.0,3.7557,109400.0,NEAR OCEAN
3232,latitude,False,True,3.5095934959349675,-122.36,40.66,17.0,2786.0,559.0,1528.0,517.0,2.0119,75800.0,INLAND
3460,latitude,False,True,3.526044715447163,-122.36,40.69,32.0,3611.0,772.0,2060.0,759.0,1.7427,60600.0,INLAND
3514,latitude,False,True,3.8715203252032633,-123.85,41.32,31.0,938.0,238.0,425.0,157.0,1.0486,36700.0,<1H OCEAN
3690,latitude,False,True,3.6137845528455395,-121.07,40.85,17.0,976.0,202.0,511.0,175.0,3.6641,80800.0,INLAND
3734,latitude,False,True,3.5918495934959465,-124.11,40.81,23.0,959.0,212.0,425.0,175.0,2.5536,96100.0,NEAR OCEAN
3814,latitude,False,True,3.575398373983751,-124.13,40.78,34.0,2142.0,420.0,1056.0,382.0,2.1101,86900.0,NEAR OCEAN
3979,latitude,False,True,3.575398373983751,-124.18,40.78,37.0,1453.0,293.0,867.0,310.0,2.5536,70200.0,NEAR OCEAN
4055,latitude,False,True,3.5699146341463535,-124.14,40.77,27.0,3046.0,605.0,1407.0,571.0,2.9143,99600.0,NEAR OCEAN
4071,latitude,False,True,3.537012195121962,-122.32,40.71,18.0,2879.0,578.0,1399.0,586.0,2.4036,105400.0,INLAND
4373,latitude,False,True,3.575398373983751,-124.16,40.78,43.0,2241.0,446.0,932.0,395.0,2.9038,82000.0,NEAR OCEAN
4419,latitude,False,True,4.140223577235785,-124.15,41.81,17.0,3276.0,628.0,3546.0,585.0,2.2868,103100.0,NEAR OCEAN
4441,latitude,False,True,3.663138211382123,-124.05,40.94,14.0,1452.0,217.0,516.0,181.0,5.0329,165600.0,NEAR OCEAN
4459,latitude,False,True,3.5699146341463535,-124.19,40.77,30.0,2975.0,634.0,1367.0,583.0,2.442,69000.0,NEAR OCEAN
4741,latitude,False,True,3.5479796747967565,-124.19,40.73,21.0,5694.0,1056.0,2907.0,972.0,3.5363,90100.0,NEAR OCEAN
5004,latitude,False,True,3.537012195121962,-122.4,40.71,22.0,2390.0,484.0,1131.0,452.0,2.1458,84700.0,INLAND
5082,latitude,False,True,3.9044227642276548,-122.28,41.38,15.0,5266.0,1031.0,2147.0,885.0,2.8036,110100.0,INLAND
5104,latitude,False,True,4.118288617886192,-124.21,41.77,17.0,3461.0,722.0,1947.0,647.0,2.5795,68400.0,NEAR OCEAN
5226,latitude,False,True,4.178609756097575,-123.83,41.88,18.0,1504.0,357.0,660.0,258.0,3.13,116700.0,<1H OCEAN
5286,latitude,False,True,3.6302357723577354,-124.06,40.88,12.0,2087.0,424.0,1603.0,438.0,2.5667,139500.0,NEAR OCEAN
5297,latitude,False,True,3.6137845528455395,-123.13,40.85,18.0,1650.0,377.0,675.0,282.0,1.8933,84700.0,INLAND
5383,latitude,False,True,3.9482926829268408,-122.9,41.46,31.0,1277.0,263.0,600.0,241.0,1.7292,61700.0,INLAND
5532,latitude,False,True,4.134739837398383,-123.38,41.8,25.0,1941.0,477.0,1000.0,390.0,2.2976,54400.0,INLAND
5638,latitude,False,True,4.079902439024403,-122.92,41.7,23.0,4017.0,792.0,1634.0,619.0,2.3571,62000.0,INLAND
5651,latitude,False,True,3.822166666666676,-122.27,41.23,40.0,1958.0,386.0,725.0,331.0,2.1898,65500.0,INLAND
5815,latitude,False,True,3.866036585365866,-121.18,41.31,22.0,2124.0,432.0,829.0,313.0,2.4519,57500.0,INLAND
5926,latitude,False,True,3.6905569105691174,-123.35,40.99,23.0,141.0,59.0,47.0,23.0,1.125,66000.0,INLAND
6072,latitude,False,True,3.734426829268303,-121.11,41.07,26.0,1707.0,308.0,761.0,250.0,2.7188,48100.0,INLAND
6341,latitude,False,True,4.129256097560987,-120.08,41.79,34.0,1355.0,262.0,434.0,178.0,2.0903,56100.0,INLAND
6344,latitude,False,True,3.6192682926829365,-124.09,40.86,25.0,1322.0,387.0,794.0,379.0,1.1742,75000.0,NEAR OCEAN
6362,latitude,False,True,3.701524390243912,-123.52,41.01,17.0,1564.0,345.0,517.0,222.0,2.1542,83800.0,INLAND
6419,latitude,False,True,3.5095934959349675,-123.74,40.66,25.0,2395.0,431.0,983.0,375.0,3.0469,136000.0,<1H OCEAN
6644,latitude,False,True,4.156674796747981,-124.3,41.84,17.0,2677.0,531.0,1244.0,456.0,3.0313,103600.0,NEAR OCEAN
6645,latitude,False,True,3.6576544715447254,-124.11,40.93,25.0,2392.0,474.0,1298.0,461.0,3.5076,73600.0,NEAR OCEAN
6691,latitude,False,True,3.5918495934959465,-124.23,40.81,52.0,1112.0,209.0,544.0,172.0,3.3462,50800.0,NEAR OCEAN
6885,latitude,False,True,4.101837398373997,-122.61,41.74,15.0,4206.0,922.0,1863.0,869.0,2.0591,55700.0,INLAND
6912,latitude,False,True,4.167642276422775,-121.93,41.86,28.0,4225.0,835.0,1908.0,686.0,1.74,44000.0,INLAND
7013,latitude,False,True,3.542495934959359,-124.14,40.72,18.0,2581.0,499.0,1375.0,503.0,2.8446,100500.0,NEAR OCEAN
7299,latitude,False,True,3.6302357723577354,-123.98,40.88,41.0,1719.0,372.0,844.0,336.0,2.6923,84200.0,<1H OCEAN
7379,latitude,False,True,3.5808821138211484,-124.14,40.79,38.0,1552.0,290.0,873.0,291.0,2.4896,81000.0,NEAR OCEAN
7418,latitude,False,True,3.5589471544715545,-124.17,40.75,13.0,2171.0,339.0,951.0,353.0,4.8516,116100.0,NEAR OCEAN
7622,latitude,False,True,4.096353658536596,-124.22,41.73,28.0,3003.0,699.0,1530.0,653.0,1.7038,78300.0,NEAR OCEAN
7856,latitude,False,True,3.6521707317073284,-124.0,40.92,29.0,1429.0,,672.0,266.0,2.9485,98800.0,<1H OCEAN
7946,latitude,False,True,4.134739837398383,-124.3,41.8,19.0,2672.0,552.0,1298.0,478.0,1.9797,85800.0,NEAR OCEAN
8053,latitude,False,True,3.761845528455294,-121.47,41.12,22.0,2737.0,512.0,1168.0,442.0,2.83,88700.0,INLAND
8233,latitude,False,True,3.5808821138211484,-124.13,40.79,29.0,2474.0,453.0,1130.0,427.0,2.8833,83000.0,NEAR OCEAN
8285,latitude,False,True,3.5918495934959465,-124.07,40.81,23.0,2103.0,411.0,1019.0,387.0,2.9911,119700.0,NEAR OCEAN
8480,latitude,False,True,3.575398373983751,-124.17,40.78,39.0,1606.0,330.0,731.0,327.0,1.6369,68300.0,NEAR OCEAN
8487,latitude,False,True,4.123772357723589,-121.62,41.78,40.0,3272.0,663.0,1467.0,553.0,1.7885,43500.0,INLAND
8528,latitude,False,True,3.8715203252032633,-122.3,41.32,13.0,2300.0,513.0,1151.0,488.0,2.1571,81500.0,INLAND
8588,latitude,False,True,3.9318414634146452,-122.49,41.43,19.0,3689.0,644.0,1544.0,566.0,3.125,76100.0,INLAND
8600,latitude,False,True,3.635719512195133,-122.31,40.89,18.0,754.0,161.0,247.0,107.0,2.2583,78800.0,INLAND
8728,latitude,False,True,3.5589471544715545,-122.79,40.75,17.0,3851.0,818.0,1352.0,560.0,2.125,71700.0,INLAND
8868,latitude,False,True,3.6192682926829365,-124.06,40.86,34.0,4183.0,,1891.0,669.0,3.2216,98100.0,NEAR OCEAN
8894,latitude,False,True,3.7179756097561074,-124.1,41.04,26.0,1633.0,380.0,890.0,370.0,1.9741,97900.0,NEAR OCEAN
9039,latitude,False,True,3.5918495934959465,-124.15,40.81,50.0,340.0,74.0,235.0,83.0,1.75,67500.0,NEAR OCEAN
9139,latitude,False,True,3.564430894308952,-122.89,40.76,14.0,712.0,131.0,270.0,90.0,2.3958,102100.0,INLAND
9165,latitude,False,True,3.767329268292695,-124.06,41.13,22.0,3263.0,799.0,1384.0,578.0,2.4708,119400.0,NEAR OCEAN
9214,latitude,False,True,4.057967479674806,-122.26,41.66,17.0,1885.0,350.0,953.0,328.0,2.1607,61400.0,INLAND
9225,latitude,False,True,4.200544715447167,-124.16,41.92,19.0,1668.0,324.0,841.0,283.0,2.1336,75000.0,NEAR OCEAN
9381,latitude,False,True,3.866036585365866,-122.32,41.31,45.0,1393.0,294.0,521.0,249.0,1.1915,71900.0,INLAND
9447,latitude,False,True,3.624752032520334,-121.67,40.87,31.0,1581.0,299.0,776.0,287.0,2.9063,77800.0,INLAND
9501,latitude,False,True,3.970227642276434,-121.76,41.5,31.0,602.0,153.0,112.0,47.0,1.0667,34200.0,INLAND
9651,latitude,False,True,3.575398373983751,-124.15,40.78,36.0,2112.0,374.0,829.0,368.0,3.3984,90000.0,NEAR OCEAN
9695,latitude,False,True,3.5205609756097656,-122.36,40.68,28.0,1745.0,379.0,1011.0,370.0,2.0391,59800.0,INLAND
9816,latitude,False,True,3.564430894308952,-124.15,40.76,24.0,2858.0,511.0,1388.0,512.0,3.375,100600.0,NEAR OCEAN
9825,latitude,False,True,3.5808821138211484,-124.18,40.79,40.0,1398.0,311.0,788.0,279.0,1.4668,64600.0,NEAR OCEAN
