feature_name,feature_group,source_variable,source_available_in_training_data
bedrooms_per_household,Deterministic,total_bedrooms,True
bedrooms_per_household,Deterministic,households,True
bedrooms_per_person,Deterministic,total_bedrooms,True
bedrooms_per_person,Deterministic,population,True
bedrooms_per_room,Deterministic,total_bedrooms,True
bedrooms_per_room,Deterministic,total_rooms,True
population_per_household,Deterministic,population,True
population_per_household,Deterministic,households,True
rooms_per_household,Deterministic,total_rooms,True
rooms_per_household,Deterministic,households,True
rooms_per_person,Deterministic,total_rooms,True
rooms_per_person,Deterministic,population,True
coastal_access_group,Domain,ocean_proximity,True
distance_to_business_centre,Domain,longitude,True
distance_to_business_centre,Domain,latitude,True
distance_to_business_centre,Domain,external_cbd_coordinates,False
local_amenity_index,Domain,external_amenity_data,False
latitude_squared,Statistical,latitude,True
longitude_squared,Statistical,longitude,True
households_squared,Statistical,households,True
housing_median_age_squared,Statistical,housing_median_age,True
income_age_interaction,Statistical,median_income,True
income_age_interaction,Statistical,housing_median_age,True
income_ocean_proximity_interaction,Statistical,median_income,True
income_ocean_proximity_interaction,Statistical,ocean_proximity,True
longitude_latitude_interaction,Statistical,longitude,True
longitude_latitude_interaction,Statistical,latitude,True
median_income_squared,Statistical,median_income,True
population_squared,Statistical,population,True
total_bedrooms_squared,Statistical,total_bedrooms,True
total_rooms_squared,Statistical,total_rooms,True
one_hot_categorical_predictors,Machine Learning,ocean_proximity,True
standardized_numeric_predictors,Machine Learning,longitude,True
standardized_numeric_predictors,Machine Learning,latitude,True
standardized_numeric_predictors,Machine Learning,housing_median_age,True
standardized_numeric_predictors,Machine Learning,total_rooms,True
standardized_numeric_predictors,Machine Learning,total_bedrooms,True
standardized_numeric_predictors,Machine Learning,population,True
standardized_numeric_predictors,Machine Learning,households,True
standardized_numeric_predictors,Machine Learning,median_income,True
polynomial_feature_expansion,Machine Learning,longitude,True
polynomial_feature_expansion,Machine Learning,latitude,True
polynomial_feature_expansion,Machine Learning,housing_median_age,True
polynomial_feature_expansion,Machine Learning,total_rooms,True
polynomial_feature_expansion,Machine Learning,total_bedrooms,True
polynomial_feature_expansion,Machine Learning,population,True
polynomial_feature_expansion,Machine Learning,households,True
polynomial_feature_expansion,Machine Learning,median_income,True
spline_basis_for_prediction,Machine Learning,longitude,True
spline_basis_for_prediction,Machine Learning,latitude,True
spline_basis_for_prediction,Machine Learning,housing_median_age,True
spline_basis_for_prediction,Machine Learning,total_rooms,True
spline_basis_for_prediction,Machine Learning,total_bedrooms,True
spline_basis_for_prediction,Machine Learning,population,True
spline_basis_for_prediction,Machine Learning,households,True
spline_basis_for_prediction,Machine Learning,median_income,True
orthogonal_polynomial_terms,Inferential,longitude,True
orthogonal_polynomial_terms,Inferential,latitude,True
orthogonal_polynomial_terms,Inferential,housing_median_age,True
orthogonal_polynomial_terms,Inferential,total_rooms,True
orthogonal_polynomial_terms,Inferential,total_bedrooms,True
orthogonal_polynomial_terms,Inferential,population,True
orthogonal_polynomial_terms,Inferential,households,True
orthogonal_polynomial_terms,Inferential,median_income,True
centered_numeric_predictors,Inferential,longitude,True
centered_numeric_predictors,Inferential,latitude,True
centered_numeric_predictors,Inferential,housing_median_age,True
centered_numeric_predictors,Inferential,total_rooms,True
centered_numeric_predictors,Inferential,total_bedrooms,True
centered_numeric_predictors,Inferential,population,True
centered_numeric_predictors,Inferential,households,True
centered_numeric_predictors,Inferential,median_income,True
interpretable_spline_basis,Inferential,longitude,True
interpretable_spline_basis,Inferential,latitude,True
interpretable_spline_basis,Inferential,median_income,True
